invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_amount,AgeCategory
I100015,C132779,Female,35,Clothing,2,600.16,Debit Card,04-Mar-21,Mall of Istanbul,1200.32,35-44
I100057,C225062,Female,25,Clothing,2,600.16,Credit Card,13-Oct-21,Forum Istanbul,1200.32,25-34
I100095,C608046,Male,60,Clothing,2,600.16,Cash,23-Nov-21,Istinye Park,1200.32,55-64
I100127,C708853,Male,38,Clothing,2,600.16,Debit Card,16-Nov-21,Cevahir AVM,1200.32,35-44
I100138,C237364,Male,52,Clothing,2,600.16,Cash,19-Jun-21,Mall of Istanbul,1200.32,45-54
I100151,C315218,Male,69,Clothing,2,600.16,Cash,23-Jul-21,Kanyon,1200.32,65+
I100211,C239527,Female,59,Clothing,2,600.16,Debit Card,10-Feb-21,Metrocity,1200.32,55-64
I100228,C248381,Male,42,Clothing,2,600.16,Cash,21-Feb-23,Mall of Istanbul,1200.32,35-44
I100284,C174674,Female,66,Clothing,2,600.16,Credit Card,13-Aug-22,Kanyon,1200.32,65+
I100292,C721616,Female,21,Clothing,2,600.16,Cash,16-Aug-22,Mall of Istanbul,1200.32,18-24
I100320,C152872,Female,21,Clothing,2,600.16,Cash,10-Oct-22,Emaar Square Mall,1200.32,18-24
I100364,C231500,Female,54,Clothing,2,600.16,Debit Card,15-Apr-21,Zorlu Center,1200.32,45-54
I100381,C243648,Female,36,Clothing,2,600.16,Cash,02-Dec-22,Forum Istanbul,1200.32,35-44
I100464,C129826,Male,44,Clothing,2,600.16,Debit Card,01-May-21,Mall of Istanbul,1200.32,35-44
I100496,C174558,Female,51,Clothing,2,600.16,Cash,26-Nov-21,Metrocity,1200.32,45-54
I100540,C641482,Female,35,Clothing,2,600.16,Credit Card,14-Jun-22,Metrocity,1200.32,35-44
I100566,C266257,Male,21,Clothing,2,600.16,Cash,10-Oct-22,Metrocity,1200.32,18-24
I100582,C638859,Female,66,Clothing,2,600.16,Cash,02-Nov-21,Istinye Park,1200.32,65+
I100586,C580838,Female,62,Clothing,2,600.16,Credit Card,18-Mar-22,Istinye Park,1200.32,55-64
I100652,C214732,Female,67,Clothing,2,600.16,Credit Card,17-Jan-23,Cevahir AVM,1200.32,65+
I100664,C603641,Male,62,Clothing,2,600.16,Debit Card,19-Oct-21,Mall of Istanbul,1200.32,55-64
I100691,C116434,Female,35,Clothing,2,600.16,Cash,26-Apr-22,Viaport Outlet,1200.32,35-44
I100696,C131827,Male,44,Clothing,2,600.16,Cash,12-Jul-21,Metrocity,1200.32,35-44
I100703,C263996,Male,36,Clothing,2,600.16,Cash,08-Aug-22,Metrocity,1200.32,35-44
I100721,C993556,Female,51,Clothing,2,600.16,Debit Card,02-May-22,Kanyon,1200.32,45-54
I100738,C155129,Male,20,Clothing,2,600.16,Debit Card,31-Mar-22,Kanyon,1200.32,18-24
I100813,C250804,Male,63,Clothing,2,600.16,Cash,18-Mar-22,Emaar Square Mall,1200.32,55-64
I100932,C204475,Male,43,Clothing,2,600.16,Cash,28-Oct-22,Mall of Istanbul,1200.32,35-44
I100961,C157517,Female,47,Clothing,2,600.16,Cash,27-Apr-22,Forum Istanbul,1200.32,45-54
I100981,C116368,Female,33,Clothing,2,600.16,Credit Card,29-Jan-23,Metropol AVM,1200.32,25-34
I100988,C202289,Male,37,Clothing,2,600.16,Cash,27-Sep-22,Istinye Park,1200.32,35-44
I101010,C766878,Female,56,Clothing,2,600.16,Debit Card,07-Mar-22,Emaar Square Mall,1200.32,55-64
I101048,C186345,Male,19,Clothing,2,600.16,Cash,06-Sep-22,Metrocity,1200.32,18-24
I101060,C131806,Female,54,Clothing,2,600.16,Credit Card,16-Nov-21,Metrocity,1200.32,45-54
I101133,C270664,Female,63,Clothing,2,600.16,Cash,22-Jan-22,Kanyon,1200.32,55-64
I101156,C251408,Female,63,Clothing,2,600.16,Cash,07-Dec-21,Zorlu Center,1200.32,55-64
I101214,C229296,Female,40,Clothing,2,600.16,Credit Card,11-Mar-21,Viaport Outlet,1200.32,35-44
I101256,C129775,Male,50,Clothing,2,600.16,Credit Card,26-Jun-22,Mall of Istanbul,1200.32,45-54
I101280,C663744,Female,39,Clothing,2,600.16,Credit Card,26-Mar-22,Mall of Istanbul,1200.32,35-44
I101328,C468550,Male,52,Clothing,2,600.16,Cash,24-Jul-22,Viaport Outlet,1200.32,45-54
I101363,C182070,Male,18,Clothing,2,600.16,Credit Card,26-Nov-22,Metrocity,1200.32,18-24
I101366,C927671,Female,47,Clothing,2,600.16,Credit Card,19-Oct-21,Kanyon,1200.32,45-54
I101452,C231594,Male,45,Clothing,2,600.16,Credit Card,15-Oct-21,Emaar Square Mall,1200.32,45-54
I101465,C250819,Female,23,Clothing,2,600.16,Credit Card,16-Jun-21,Metrocity,1200.32,18-24
I101466,C314331,Female,36,Clothing,2,600.16,Cash,29-Sep-22,Emaar Square Mall,1200.32,35-44
